# 'RoadGravel_0_0.h5', 'Cement_0_0.h5', 'RoughGravel_0_0.h5', 'Asphalt_0_0.h5', 'Grass_0_0.h5', 'Puddle_0_0.h5', 'AsphaltWet_0_0.h5'
4.941509433962264097e+01,9.433644859813084338e+01,8.384761904761904816e+01,6.825688073394495348e+01,1.089174311926605441e+02,1.654716981132075304e+01,4.613461538461538680e+01
5.020754716981132049e+01,9.874766355140187102e+01,8.377142857142857224e+01,6.825688073394495348e+01,1.108623853211009163e+02,1.996226415094339757e+01,4.636538461538461320e+01
5.167924528301886511e+01,1.031214953271028065e+02,8.382857142857142208e+01,6.825688073394495348e+01,1.129541284403669721e+02,2.375471698113207708e+01,4.665384615384615330e+01
5.324528301886792292e+01,1.077196261682242948e+02,8.377142857142857224e+01,6.825688073394495348e+01,1.148990825688073443e+02,2.754716981132075304e+01,4.705769230769230660e+01
5.498113207547169878e+01,1.126542056074766407e+02,8.367619047619047024e+01,6.827522935779816748e+01,1.169908256880734001e+02,3.164150943396226268e+01,4.792307692307691980e+01
5.671698113207547465e+01,1.181121495327102764e+02,8.369523809523809632e+01,6.822018348623852546e+01,1.191192660550458697e+02,3.586792452830188438e+01,4.890384615384615330e+01
5.858490566037735903e+01,1.237570093457943869e+02,8.375238095238094616e+01,6.825688073394495348e+01,1.212477064220183536e+02,4.045283018867924341e+01,4.986538461538461320e+01
6.047169811320754462e+01,1.297757009345794472e+02,8.365714285714285836e+01,6.831192660550458129e+01,1.235045871559633071e+02,4.583018867924528195e+01,5.113461538461538680e+01
6.256603773584905781e+01,1.357570093457943869e+02,8.348571428571428044e+01,6.831192660550458129e+01,1.257247706422018325e+02,5.166037735849056389e+01,5.230769230769230660e+01
6.458490566037735903e+01,1.417383177570093551e+02,8.339047619047619264e+01,6.833027522935779530e+01,1.282201834862385397e+02,5.766037735849056389e+01,5.357692307692308020e+01
6.658490566037735903e+01,1.484112149532710418e+02,8.314285714285713880e+01,6.833027522935779530e+01,1.304587155963302791e+02,6.394339622641509635e+01,5.534615384615384670e+01
6.864150943396226978e+01,1.547850467289719631e+02,8.314285714285713880e+01,6.851376146788990695e+01,1.329174311926605583e+02,7.039622641509433265e+01,5.725000000000000000e+01
